ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
1283,HS,4,4,CA,0,3,A,5/24/2011,5/26/2011,11/5/2010,FR,793,3,3,0.188,NA,8/31/2010,3,1,6/8/2010,,Southern California,11,CHD,0,7,8,100,P,0,1,CA History,EXISTING,16,17,793,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,May,Middle,Middle,Middle->Middle,H,1,0.16,0.941176471,1,S,1
1284,HG,4,4,CA,0,3,B,5/24/2011,5/26/2011,11/1/2010,CP,566,36,4,0.632,NA,10/1/2010,6,4,6/2/2010,B,Southern California,4,PUBLIC,1,K,5,264,Q,0.105,1,CA History,EXISTING,57,61,566,1,10/15/2010,10/15/2010,221,221,Elementary,Elementary,Elementary->Elementary,May,K,Elementary,K->Elementary,H,1,0.215909091,0.93442623,4,S,1
1285,HD,8,8,WI,0,3,A,5/24/2011,5/26/2011,11/26/2010,NA,1204,20,4,0.556,NA,9/17/2010,11,2,9/16/2010,B,Other,10,PUBLIC,1,6,8,886,J,0.194,0,East Coast,NEW,36,38,1204,1,11/16/2010,11/16/2010,189,189,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.040632054,0.947368421,2,L,1
1286,HD,NA,NA,MA,0,4,B,5/24/2011,5/27/2011,11/1/2010,SA,699,0,0,0,NA,NA,6,15,5/5/2010,A,Other,5,PUBLIC,1,6,8,737,Q,0,0,East Coast,EXISTING,205,220,699,2,9/7/2010,9/13/2010,259,253,Undefined,Undefined,Undefined->Undefined,May,Middle,Middle,Middle->Middle,H,0,0.278154681,0.931818182,15,M-L,1
1287,HD,8,8,OH,0,3,B,5/24/2011,5/27/2011,10/15/2010,NA,575,32,1,0.395,2/16/2010,8/6/2010,5,5,2/11/2010,B,Other,10,PUBLIC,1,6,8,315,F,0.198,0,East Coast,EXISTING,81,86,575,1,8/17/2010,8/17/2010,280,280,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.257142857,0.941860465,5,S,1
1288,HD,8,8,OK,0,4,A,5/24/2011,5/27/2011,10/15/2010,NA,1609,27,3,0.628,3/3/2010,8/20/2010,4,3,3/4/2010,B,Other,10,PUBLIC,1,6,8,220,J,0.349,0,East Coast,EXISTING,43,46,1609,1,8/26/2010,8/26/2010,271,271,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.195454545,0.934782609,3,S,1
1289,HD,8,8,NH,0,4,B,5/24/2011,5/27/2011,10/15/2010,FR,732,72,6,0.453,3/25/2010,8/30/2010,9,16,3/20/2010,A,Other,5,PUBLIC,1,6,8,519,P,0.359,0,East Coast,EXISTING,159,175,732,2,5/27/2010,9/16/2010,362,250,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.306358382,0.908571429,16,S-M,1
1290,HD,8,9,SD,0,4,A,5/24/2011,5/27/2011,12/3/2010,NA,1589,17,0,0.773,NA,9/22/2010,1,2,9/10/2010,B,Other,10,PUBLIC,1,6,8,155,I,0.273,0,East Coast,NEW,22,24,1589,1,10/14/2010,10/14/2010,222,222,Middle,High,Middle->High,May,Middle,Middle,Middle->Middle,H,0,0.141935484,0.916666667,2,S,0
1291,HD,NA,NA,SC,1,4,B,5/24/2011,5/27/2011,11/15/2010,NA,785,15,4,0.395,1/29/2010,1/7/2011,5,7,1/29/2010,C,Other,10,PUBLIC,1,PK,7,442,F,0.053,0,East Coast,NEW,38,45,785,2,6/8/2010,9/21/2010,350,245,Undefined,Undefined,Undefined->Undefined,May,PK,Middle,PK->Middle,H,0,0.085972851,0.844444444,7,S-M,0
1292,HD,8,8,NC,0,4,B,5/24/2011,5/27/2011,10/15/2010,NA,768,47,1,0.603,1/28/2010,8/23/2010,2,6,1/29/2010,,Other,2,Catholic,1,K,8,471,P,0.256,0,East Coast,EXISTING,78,84,768,1,8/31/2010,8/31/2010,266,266,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1,0.165605096,0.928571429,6,S-M,1
1293,HD,8,8,MA,0,4,B,5/24/2011,5/27/2011,10/29/2010,NA,757,52,7,0.712,2/18/2010,2/18/2010,11,4,2/5/2010,B,Other,10,PUBLIC,1,6,10,600,O,0.438,0,East Coast,EXISTING,73,77,757,1,9/30/2010,9/30/2010,236,236,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1,0.121666667,0.948051948,4,M-L,1
1294,HD,9,12,NE,1,4,A,5/24/2011,5/27/2011,1/7/2011,NA,1479,18,2,0.947,NA,9/24/2010,4,1,9/24/2010,,Other,10,Catholic,1,7,12,189,Z,0.158,0,East Coast,NEW,19,20,1479,1,10/18/2010,10/18/2010,218,218,High,High,High->High,May,Middle,High,Middle->High,H,0,0.100529101,0.95,1,S,1
1295,HC,8,8,CO,0,5,A,5/24/2011,5/28/2011,10/1/2010,NA,1958,24,5,0.667,2/25/2010,8/16/2010,7,5,2/4/2010,B,Other,10,PUBLIC,1,6,8,592,M,0.222,0,East Coast,EXISTING,36,41,1958,1,8/31/2010,8/31/2010,266,266,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.060810811,0.87804878,5,M-L,1
1296,HC,8,8,CA,0,5,A,5/24/2011,5/28/2011,10/15/2010,NA,2312,8,0,0.5,NA,8/20/2010,5,2,7/15/2010,C,Southern California,10,PUBLIC,1,7,8,386,M,0.063,0,East Coast,EXISTING,16,18,2312,1,10/7/2010,10/7/2010,229,229,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.041450777,0.888888889,2,S-M,1
1297,HC,5,5,AZ,0,5,A,5/24/2011,5/28/2011,9/30/2010,NA,2174,3,2,1,NA,8/20/2010,4,1,8/19/2010,B,Other,10,PUBLIC,1,K,8,732,O,0,0,East Coast,NEW,3,4,2174,1,9/8/2010,9/8/2010,258,258,Elementary,Elementary,Elementary->Elementary,May,K,Middle,K->Middle,H,1,0.004098361,0.75,1,M-L,0
1298,HC,NA,NA,NE,1,5,A,5/24/2011,5/28/2011,11/1/2010,NA,1798,10,2,0.435,NA,10/12/2009,3,2,10/1/2009,A,Other,10,PUBLIC,1,5,8,122,M,0.348,0,East Coast,EXISTING,23,25,1798,1,8/31/2010,8/31/2010,266,266,Undefined,Undefined,Undefined->Undefined,May,Elementary,Middle,Elementary->Middle,H,0,0.18852459,0.92,2,S,0
1299,HD,8,8,TN,0,6,B,5/24/2011,5/29/2011,10/31/2010,NA,790,43,7,0.662,2/26/2010,8/27/2010,7,4,2/27/2010,C,Other,10,PUBLIC,1,6,8,728,L,0.169,0,East Coast,EXISTING,65,69,790,1,9/30/2010,9/30/2010,236,236,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.089285714,0.942028986,4,M-L,1
1300,HD,8,8,MO,0,5,B,5/24/2011,5/29/2011,12/10/2010,NA,939,16,4,0.533,NA,11/19/2010,4,2,11/20/2010,B,Other,10,PUBLIC,0,7,8,804,K,0.133,0,East Coast,NEW,30,32,939,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.037313433,0.9375,2,M-L,1
1301,HC,8,8,CA,0,6,A,5/24/2011,5/30/2011,11/1/2010,NA,2374,12,2,0.4,3/1/2010,8/25/2010,6,6,2/25/2010,B,Southern California,5,PUBLIC,1,6,8,1174,L,0.367,0,East Coast,EXISTING,30,36,2374,1,9/1/2010,9/1/2010,265,265,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.025553663,0.833333333,6,L,1
1302,HC,8,8,CA,0,10,A,5/24/2011,6/2/2011,10/11/2010,CP,2989,30,2,0.6,1/27/2010,1/27/2010,3,7,1/23/2010,,Southern California,5,CHD,1,PK,8,400,O,0.2,0,East Coast,EXISTING,50,57,2989,2,4/26/2010,9/21/2010,393,245,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,1,0.125,0.877192982,7,S-M,1
1303,HZ,8,8,CA,0,2,B,5/25/2011,5/26/2011,1/7/2011,NA,441,10,2,0.333,NA,12/9/2010,6,2,6/13/2010,C,Southern California,5,PUBLIC,0,K,8,786,G,0.033,1,CA History,EXISTING,30,32,441,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1,0.038167939,0.9375,2,M-L,1
1304,HS,4,5,CA,0,2,A,5/25/2011,5/26/2011,10/29/2010,FR,587,7,2,0.7,4/22/2010,4/22/2010,3,1,4/17/2010,C,Southern California,4,PUBLIC,1,K,5,693,E,0.3,0,CA History,NEW,10,11,587,2,10/12/2010,10/22/2010,225,215,Elementary,Elementary,Elementary->Elementary,May,K,Elementary,K->Elementary,H,0,0.014430014,0.909090909,1,M-L,0
1305,HS,4,4,CA,0,2,A,5/25/2011,5/26/2011,11/30/2010,FR,589,13,3,0.565,NA,8/13/2010,7,1,6/8/2010,B,Southern California,4,PUBLIC,0,K,6,830,Q,0.391,1,CA History,EXISTING,23,24,589,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,May,K,Middle,K->Middle,H,1,0.027710843,0.958333333,1,L,0
1306,HS,4,4,CA,0,2,A,5/25/2011,5/26/2011,12/17/2010,CP,575,2,0,0.071,NA,9/27/2010,3,1,9/23/2010,B,Southern California,5,PUBLIC,0,K,7,670,K,0.107,1,CA History,EXISTING,28,29,575,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,May,K,Middle,K->Middle,H,1,0.041791045,0.965517241,1,M-L,1
1307,HD,8,8,KS,0,3,A,5/25/2011,5/27/2011,10/22/2010,NA,1425,7,0,0.875,3/8/2010,8/17/2010,1,1,3/5/2010,C,Other,10,PUBLIC,0,6,8,181,E,0.125,0,East Coast,EXISTING,8,9,1425,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.044198895,0.888888889,1,S,1
1308,HD,8,8,IA,0,3,A,5/25/2011,5/27/2011,10/30/2010,NA,1274,8,2,0.364,3/2/2010,8/27/2010,2,3,3/2/2010,B,Other,10,PUBLIC,1,PK,8,615,I,0.182,0,East Coast,EXISTING,22,25,1274,1,10/4/2010,10/4/2010,233,233,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,1,0.035772358,0.88,3,M-L,1
1309,HD,NA,NA,MA,1,3,A,5/25/2011,5/27/2011,10/31/2010,NA,875,27,6,0.563,3/10/2010,9/1/2010,6,4,2/9/2010,B,Other,10,PUBLIC,1,7,12,400,M,0.271,0,East Coast,EXISTING,48,52,875,1,9/29/2010,9/29/2010,238,238,Undefined,Undefined,Undefined->Undefined,May,Middle,High,Middle->High,H,0,0.12,0.923076923,4,S-M,0
1310,HD,8,8,IL,0,3,A,5/25/2011,5/27/2011,1/14/2011,NA,998,20,1,0.588,NA,11/19/2010,3,7,11/19/2010,C,Other,10,PUBLIC,1,PK,8,586,P,0.177,0,East Coast,NEW,34,41,998,1,12/1/2010,12/1/2010,175,175,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,1,0.058020478,0.829268293,7,M-L,1
1311,HD,5,5,CA,0,5,A,5/25/2011,5/29/2011,1/31/2011,NA,2520,13,3,0.684,6/7/2010,10/25/2010,5,2,6/4/2010,A,Southern California,5,PUBLIC,0,K,8,700,Q,0.053,0,East Coast,EXISTING,19,21,2520,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,May,K,Middle,K->Middle,H,1,0.027142857,0.904761905,2,M-L,0
1312,HD,8,8,SD,0,5,A,5/25/2011,5/29/2011,10/15/2010,CP,1750,54,4,0.568,2/12/2010,8/23/2010,7,7,2/11/2010,B,Other,10,PUBLIC,1,6,8,594,H,0.526,0,East Coast,EXISTING,95,102,1750,1,9/14/2010,9/14/2010,253,253,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.15993266,0.931372549,7,M-L,1
1313,HD,8,8,MI,0,5,B,5/25/2011,5/29/2011,11/15/2010,FR,763,35,5,0.66,5/17/2010,9/10/2010,8,3,5/14/2010,C,Other,10,PUBLIC,1,6,8,441,M,0.151,1,East Coast,EXISTING,53,56,763,1,9/23/2010,9/23/2010,244,244,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.120181406,0.946428571,3,S-M,1
1314,HVP,8,8,GA,0,3,B,5/25/2011,5/29/2011,12/10/2010,NA,475,23,2,0.307,NA,10/15/2010,7,10,10/17/2010,C,Other,10,PUBLIC,1,6,8,797,L,0.2,0,East Coast,NEW,75,85,475,1,11/18/2010,11/18/2010,188,188,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.094102886,0.882352941,10,M-L,0
1315,HD,7,9,MI,1,5,B,5/25/2011,5/29/2011,11/1/2010,NA,896,15,0,0.6,4/14/2010,8/30/2010,5,2,3/3/2010,B,Other,10,PUBLIC,1,5,8,220,M,0.28,0,East Coast,EXISTING,25,27,896,2,5/18/2010,9/2/2010,372,265,Middle,High,Middle->High,May,Elementary,Middle,Elementary->Middle,H,0,0.113636364,0.925925926,2,S,0
1316,HVP,7,8,OH,0,3,B,5/25/2011,5/29/2011,10/29/2010,NA,419,21,8,0.512,4/27/2010,4/27/2010,8,3,4/23/2010,B,Other,10,PUBLIC,1,5,8,400,J,0.049,0,East Coast,NEW,41,44,419,2,5/25/2010,8/30/2010,365,268,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,0,0.1025,0.931818182,3,S-M,1
1317,HD,8,8,OH,0,4,A,5/25/2011,5/29/2011,10/8/2010,SA,1318,0,0,0,4/19/2010,8/24/2010,10,9,4/16/2010,B,Other,5,PUBLIC,1,6,8,627,O,0,0,East Coast,EXISTING,83,92,1318,1,9/14/2010,9/14/2010,253,253,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.132376396,0.902173913,9,M-L,1
1318,HD,10,12,NE,0,5,A,5/25/2011,5/29/2011,10/15/2010,SA,1926,0,0,0,3/17/2010,8/26/2010,6,2,9/24/2009,C,Other,10,PUBLIC,1,7,12,115,E,0,0,East Coast,NEW,14,16,1926,2,9/28/2009,9/9/2010,604,258,High,High,High->High,May,Middle,High,Middle->High,H,0,0.12173913,0.875,2,S,0
1319,HC,8,8,CA,0,5,A,5/25/2011,5/30/2011,5/15/2010,NA,1967,34,6,0.642,2/24/2010,2/24/2010,14,7,2/18/2010,B,Southern California,10,PUBLIC,1,7,8,1700,N,0.302,0,East Coast,EXISTING,53,60,1967,1,2/24/2010,2/24/2010,455,455,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.031176471,0.883333333,7,L,1
1320,HS,4,4,CA,0,1,A,5/26/2011,5/26/2011,10/15/2010,SA,396,0,0,0,5/19/2010,5/19/2010,1,2,4/14/2010,,Southern California,5,Private non-Christian,1,PK,8,320,Q,0,1,CA History,EXISTING,34,36,396,1,9/16/2010,9/16/2010,252,252,Elementary,Elementary,Elementary->Elementary,May,PK,Middle,PK->Middle,H,1,0.10625,0.944444444,2,S,1
1321,HS,4,4,CA,0,1,A,5/26/2011,5/26/2011,10/15/2010,NA,384,19,1,0.475,5/21/2010,9/3/2010,3,2,5/21/2010,,Southern California,4,CHD,0,PK,6,407,N,0.2,1,CA History,EXISTING,40,42,384,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,May,PK,Middle,PK->Middle,H,1,0.098280098,0.952380952,2,S-M,1
1322,HG,4,4,CA,0,2,A,5/26/2011,5/27/2011,10/15/2010,FR,614,14,4,0.359,4/5/2010,8/24/2010,5,1,4/3/2010,A,Southern California,4,PUBLIC,1,K,5,272,P4,0.231,1,CA History,EXISTING,39,40,614,1,9/15/2010,9/15/2010,253,253,Elementary,Elementary,Elementary->Elementary,May,K,Elementary,K->Elementary,H,1,0.143382353,0.975,1,S,1
1323,HG,4,5,CA,1,2,A,5/26/2011,5/27/2011,11/1/2010,FR,625,18,1,0.621,4/20/2009,9/27/2010,2,2,4/2/2009,,Southern California,7,PUBLIC,0,,NA,,,0.31,1,CA History,EXISTING,29,31,625,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,May,Undefined,Undefined,Undefined->Undefined,H,0,NA,0.935483871,2,,0
1324,HVP,6,7,NY,0,3,B,5/26/2011,5/28/2011,12/17/2010,NA,369,13,1,0.277,NA,10/25/2010,2,4,10/20/2010,C,Other,2,PUBLIC,1,6,9,413,D,0.043,0,East Coast,NEW,47,51,369,1,11/12/2010,11/12/2010,195,195,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,0,0.113801453,0.921568627,4,S-M,1
1325,HO,10,11,FL,0,4,A,5/26/2011,5/29/2011,11/1/2010,NA,1976,1,3,0.2,NA,7/2/2010,3,1,7/3/2010,B,Other,8,PUBLIC,1,9,12,1558,N,0,0,East Coast,NEW,5,6,1976,1,9/14/2010,9/14/2010,254,254,High,High,High->High,May,High,High,High->High,H,0,0.003209243,0.833333333,1,L,0
1326,HD,8,8,TX,0,3,A,5/26/2011,5/29/2011,10/15/2010,NA,1427,13,6,0.65,NA,8/23/2010,10,4,8/17/2010,C,Dallas,10,PUBLIC,1,6,8,594,G,0.1,0,East Coast,NEW,20,24,1427,2,8/26/2010,9/9/2010,273,259,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.033670034,0.833333333,4,M-L,0
1327,HN,8,8,FL,0,4,A,5/26/2011,5/29/2011,11/1/2010,NA,1579,11,11,0.611,NA,9/22/2010,12,3,8/26/2010,C,Other,10,PUBLIC,0,K,8,1203,N,0.222,0,East Coast,EXISTING,18,21,1579,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1,0.014962594,0.857142857,3,L,0
1328,HVP,8,8,TN,0,5,B,5/26/2011,5/30/2011,10/22/2010,NA,438,37,14,0.673,2/23/2010,8/24/2010,19,4,2/23/2010,B,Other,2,PUBLIC,1,6,8,863,I,0.255,0,East Coast,NEW,55,59,438,2,3/16/2010,9/16/2010,436,252,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.06373117,0.93220339,4,L,1
1329,HVP,8,8,TN,0,5,B,5/26/2011,5/30/2011,9/24/2010,NA,439,62,8,0.738,NA,8/23/2010,8,6,8/20/2010,C,Other,10,PUBLIC,1,5,8,790,C,0.179,0,East Coast,NEW,84,90,439,1,9/7/2010,9/7/2010,261,261,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,1,0.106329114,0.933333333,6,M-L,1
1330,HD,8,8,OH,0,5,B,5/26/2011,5/30/2011,11/1/2010,FR,694,57,7,0.588,NA,10/11/2010,9,7,9/17/2010,B,Other,10,PUBLIC,1,6,8,942,L,0.268,0,East Coast,EXISTING,97,104,694,1,5/12/2011,5/12/2011,14,14,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.102972399,0.932692308,7,L,1
1331,HVP,8,8,OH,0,3,B,5/26/2011,5/30/2011,11/1/2010,NA,419,43,8,0.512,NA,9/23/2010,12,9,9/23/2010,B,Other,10,PUBLIC,1,6,8,330,L,0.095,0,East Coast,NEW,84,93,419,1,10/6/2010,10/6/2010,232,232,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.254545455,0.903225806,9,S,1
1332,HD,8,8,CA,0,5,A,5/26/2011,5/31/2011,11/1/2010,NA,2093,31,3,0.775,2/11/2010,8/27/2010,4,6,2/2/2010,A,Northern California,5,PUBLIC,1,6,8,1149,Q,0.475,0,East Coast,EXISTING,40,46,2093,2,4/15/2010,9/14/2010,406,254,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.034812881,0.869565217,6,L,1
1333,HD,8,8,CA,0,5,A,5/26/2011,5/31/2011,9/30/2010,NA,2087,7,2,0.583,NA,8/27/2010,2,1,7/15/2010,A,Northern California,5,PUBLIC,1,6,8,1072,Q,0.167,1,East Coast,EXISTING,12,13,2087,1,9/15/2010,9/15/2010,253,253,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.01119403,0.923076923,1,L,1
1334,HD,7,8,MI,0,5,B,5/26/2011,5/31/2011,11/15/2010,NA,825,35,2,0.467,NA,9/28/2010,8,10,9/24/2010,B,Other,5,PUBLIC,1,7,8,642,L,0.227,0,East Coast,EXISTING,75,85,825,1,10/14/2010,10/14/2010,224,224,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.11682243,0.882352941,10,M-L,1
1335,HC,8,8,HI,0,8,A,5/26/2011,6/3/2011,11/1/2010,CP,3628,13,2,0.591,2/26/2010,8/24/2010,5,3,2/27/2010,E,Other,5,PUBLIC,1,6,8,280,O,0.091,0,East Coast,EXISTING,22,25,3628,1,9/8/2010,9/8/2010,260,260,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.078571429,0.88,3,S,0
1336,HIS,NA,NA,IL,0,1,B,5/27/2011,5/27/2011,2/4/2011,CP,100,0,0,0,NA,10/27/2010,0,4,10/27/2010,C,Other,1,PUBLIC,1,4,8,372,E,0,0,IL History,NEW,43,47,100,1,11/4/2010,11/4/2010,204,204,Undefined,Undefined,Undefined->Undefined,May,Elementary,Middle,Elementary->Middle,H,0,0.115591398,0.914893617,4,S-M,1
1337,HD,8,8,TX,0,4,A,5/27/2011,5/30/2011,10/1/2010,NA,1495,9,3,0.6,2/2/2010,8/31/2010,6,1,2/3/2010,C,Houston,10,PUBLIC,1,6,8,1168,F,0.267,0,East Coast,EXISTING,15,16,1495,2,2/25/2010,9/7/2010,456,262,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.012842466,0.9375,1,L,0
1338,HD,8,8,OH,0,4,B,5/27/2011,5/30/2011,10/29/2010,NA,772,48,6,0.696,1/26/2010,9/1/2010,7,6,1/26/2010,A,Other,5,PUBLIC,1,6,8,550,N,0.261,0,East Coast,EXISTING,69,75,772,1,9/21/2010,9/21/2010,248,248,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.125454545,0.92,6,S-M,1
1339,HD,8,8,NE,0,4,A,5/27/2011,5/30/2011,10/22/2010,NA,1617,17,2,0.5,3/19/2010,8/17/2010,3,2,3/19/2010,C,Other,10,PUBLIC,1,6,8,547,E,0.412,0,East Coast,EXISTING,34,36,1617,2,9/21/2010,11/9/2010,248,199,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.062157221,0.944444444,2,S-M,1
1340,HD,8,9,FL,0,4,A,5/27/2011,5/30/2011,10/15/2010,NA,1440,8,1,0.571,2/4/2010,8/17/2010,2,1,2/3/2010,B,Other,4,PUBLIC,1,K,5,650,O,0.214,0,East Coast,EXISTING,14,15,1440,2,8/17/2010,9/1/2010,283,268,Middle,High,Middle->High,May,K,Elementary,K->Elementary,H,0,0.021538462,0.933333333,1,M-L,1
1341,HD,8,8,NY,0,4,B,5/27/2011,5/30/2011,10/8/2010,NA,867,13,0,0.684,NA,8/12/2010,0,2,8/12/2010,,Other,2,Catholic,0,PK,8,271,O,0.158,0,East Coast,NEW,19,21,867,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,1,0.070110701,0.904761905,2,S,1
1342,HD,10,11,LA,0,4,A,5/27/2011,5/30/2011,11/12/2010,FR,1499,4,1,1,NA,9/16/2010,2,1,9/15/2010,B,Other,8,PUBLIC,0,9,12,750,G,0.25,0,East Coast,NEW,4,5,1499,0,NA,NA,NA,NA,High,High,High->High,May,High,High,High->High,H,0,0.005333333,0.8,1,M-L,0
1343,HD,8,8,RI,0,5,B,5/27/2011,5/31/2011,11/15/2010,NA,769,22,2,0.667,2/22/2010,8/30/2010,5,7,2/18/2010,C,Other,10,PUBLIC,1,7,8,487,J,0.152,0,East Coast,EXISTING,33,40,769,1,10/21/2010,10/21/2010,218,218,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.067761807,0.825,7,S-M,1
1344,HD,7,8,NE,0,5,A,5/27/2011,5/31/2011,10/15/2010,NA,1632,4,1,0.364,3/11/2010,9/3/2010,1,1,3/10/2010,,Other,5,Catholic,0,K,8,515,M,0.091,0,East Coast,EXISTING,11,12,1632,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,0,0.021359223,0.916666667,1,S-M,1
1345,HD,7,9,IL,0,5,B,5/27/2011,5/31/2011,11/19/2010,NA,699,12,0,0.375,4/16/2010,8/30/2010,2,2,4/14/2010,C,Other,10,PUBLIC,1,7,12,220,F,0.219,0,East Coast,NEW,32,34,699,1,9/30/2010,9/30/2010,239,239,Middle,High,Middle->High,May,Middle,High,Middle->High,H,0,0.145454545,0.941176471,2,S,0
1346,HS,4,5,CA,0,2,A,5/28/2011,5/29/2011,12/3/2010,NA,637,9,1,0.5,NA,9/2/2010,1,1,9/1/2010,,Southern California,NA,CHD,1,,NA,,,0.278,0,CA History,NEW,18,19,637,1,9/22/2010,9/22/2010,248,248,Elementary,Elementary,Elementary->Elementary,May,Undefined,Undefined,Undefined->Undefined,H,0,NA,0.947368421,1,,0
1347,HD,NA,NA,IL,0,3,A,5/28/2011,5/30/2011,10/28/2010,NA,1098,33,9,0.611,3/2/2010,9/2/2010,7,4,3/2/2010,A,Other,5,PUBLIC,1,6,8,522,Q,0.259,0,East Coast,EXISTING,54,58,1098,1,10/20/2010,10/20/2010,220,220,Undefined,Undefined,Undefined->Undefined,May,Middle,Middle,Middle->Middle,H,0,0.103448276,0.931034483,4,S-M,1
1348,HD,NA,NA,MI,0,3,A,5/28/2011,5/30/2011,10/15/2010,NA,1149,1,0,0.333,5/21/2010,9/22/2010,0,1,5/21/2010,A,Other,5,PUBLIC,1,7,8,385,P,0.333,0,East Coast,EXISTING,3,4,1149,2,6/3/2010,9/14/2010,359,256,Undefined,Undefined,Undefined->Undefined,May,Middle,Middle,Middle->Middle,H,0,0.007792208,0.75,1,S-M,1
1349,HD,8,8,OH,0,3,A,5/28/2011,5/30/2011,10/22/2010,NA,1333,4,1,0.8,4/23/2010,8/20/2010,2,1,4/22/2010,A,Other,5,PUBLIC,1,7,8,879,P,0.2,0,East Coast,EXISTING,5,6,1333,2,9/16/2010,10/6/2010,254,234,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.005688282,0.833333333,1,L,1
